DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
43.594	35.6406	51.20081921310741
43.696	35.5938	51.20081921310741
43.797	35.6641	51.20081921310741
43.898	35.6641	51.20081921310741
44.0	35.6172	51.20081921310741
44.1	35.75	51.20081921310741
44.202	35.7031	51.20081921310741
44.303	35.7031	51.20081921310741
44.404	35.75	51.20081921310741
44.506	35.75	51.20081921310741
44.606	35.8672	51.20081921310741
44.707	35.8594	51.20081921310741
44.809	35.8594	51.20081921310741
44.91	35.9141	51.20081921310741
45.012	35.9297	51.20081921310741
45.112	35.9297	51.20081921310741
45.213	35.9063	51.20081921310741
45.315	35.9609	51.20081921310741
45.416	36.0391	51.20081921310741
45.516	36.0391	51.20081921310741
45.618	36.0078	51.20081921310741
45.719	36.0625	51.20081921310741
45.82	36.1563	51.20081921310741
45.922	36.1641	51.20081921310741
46.022	36.1406	51.20081921310741
46.124	36.1328	51.20081921310741
46.225	36.1406	51.20081921310741
46.326	36.2109	51.20081921310741
46.428	36.2266	51.20081921310741
46.528	36.2578	51.20081921310741
46.629	36.2344	51.20081921310741
46.731	36.3203	51.20081921310741
46.832	36.2969	51.20081921310741
46.934	36.3828	51.20081921310741
47.034	36.4141	51.20081921310741
47.135	36.3594	51.20081921310741
47.237	36.4922	51.20081921310741
47.338	36.4297	51.20081921310741
47.439	36.4063	51.20081921310741
47.54	36.4375	51.20081921310741
47.641	36.4766	51.20081921310741
47.743	36.5234	51.20081921310741
47.844	36.5469	51.20081921310741
47.944	36.4922	51.20081921310741
48.046	36.6094	51.20081921310741
48.147	36.5938	51.20081921310741
48.248	36.5938	51.20081921310741
48.35	36.6563	51.20081921310741
48.45	36.6563	51.20081921310741
48.551	36.7422	51.20081921310741
48.653	36.7188	51.20081921310741
48.754	36.6953	51.20081921310741
48.856	36.8203	51.20081921310741
48.956	36.8125	51.20081921310741
49.057	36.7969	51.20081921310741
49.159	36.8438	51.20081921310741
49.26	36.8438	51.20081921310741
49.361	36.8906	51.20081921310741
49.462	36.9141	51.20081921310741
49.563	36.9453	51.20081921310741
49.665	36.9766	51.20081921310741
49.766	37.0234	51.20081921310741
49.867	37.0469	51.20081921310741
49.968	37.0234	51.20081921310741
50.069	37.1094	51.20081921310741
50.17	37.1328	51.20081921310741
50.272	37.0859	51.20081921310741
50.373	37.1484	51.20081921310741
50.474	37.1563	51.20081921310741
50.575	37.1719	51.20081921310741
50.676	37.1797	51.20081921310741
50.778	37.2656	51.20081921310741
50.879	37.2891	51.20081921310741
50.979	37.2422	51.20081921310741
51.081	37.3125	51.20081921310741
51.182	37.3828	51.20081921310741
51.284	37.3594	51.20081921310741
51.384	37.3828	51.20081921310741
51.485	37.3828	51.20081921310741
51.587	37.4219	51.20081921310741
51.688	37.3359	51.20081921310741
51.789	37.4297	51.20081921310741
51.89	37.4609	51.20081921310741
51.991	37.5313	51.20081921310741
52.092	37.5781	51.20081921310741
52.194	37.6094	51.20081921310741
52.295	37.6719	51.20081921310741
52.396	37.6484	51.20081921310741
52.497	37.6563	51.20081921310741
52.598	37.6328	51.20081921310741
52.7	37.7422	51.20081921310741
52.801	37.7188	51.20081921310741
52.901	37.6016	51.20081921310741
53.003	37.7188	51.20081921310741
53.104	37.7266	51.20081921310741
53.206	37.7266	51.20081921310741
53.307	37.8047	51.20081921310741
53.407	37.875	51.20081921310741
53.509	37.8125	51.20081921310741
53.61	37.8828	51.20081921310741
53.711	37.8594	51.20081921310741
53.813	37.9844	51.20081921310741
53.913	37.9219	51.20081921310741
54.015	37.9375	51.20081921310741
54.116	37.9609	51.20081921310741
