DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
45.823	95.6953	51.20081921310741
45.923	95.7656	51.20081921310741
46.024	95.6875	51.20081921310741
46.126	95.6406	51.20081921310741
46.227	95.6875	51.20081921310741
46.328	95.6484	51.20081921310741
46.429	95.6641	51.20081921310741
46.53	95.6953	51.20081921310741
46.631	95.6875	51.20081921310741
46.733	95.625	51.20081921310741
46.834	95.5625	51.20081921310741
46.935	95.5781	51.20081921310741
47.036	95.5313	51.20081921310741
47.137	95.5625	51.20081921310741
47.239	95.5078	51.20081921310741
47.34	95.5313	51.20081921310741
47.44	95.5547	51.20081921310741
47.542	95.5078	51.20081921310741
47.643	95.5078	51.20081921310741
47.745	95.4375	51.20081921310741
47.846	95.4609	51.20081921310741
47.946	95.4609	51.20081921310741
48.048	95.4844	51.20081921310741
48.149	95.4219	51.20081921310741
48.25	95.4453	51.20081921310741
48.352	95.4141	51.20081921310741
48.452	95.4219	51.20081921310741
48.554	95.4141	51.20081921310741
48.655	95.3203	51.20081921310741
48.756	95.3516	51.20081921310741
48.857	95.3516	51.20081921310741
48.958	95.3672	51.20081921310741
49.059	95.3438	51.20081921310741
49.161	95.3203	51.20081921310741
49.262	95.2734	51.20081921310741
49.362	95.2813	51.20081921310741
49.464	95.3047	51.20081921310741
49.565	95.3203	51.20081921310741
49.667	95.3203	51.20081921310741
49.768	95.2344	51.20081921310741
49.868	95.2266	51.20081921310741
49.97	95.2109	51.20081921310741
50.071	95.2734	51.20081921310741
50.172	95.2578	51.20081921310741
50.274	95.1406	51.20081921310741
50.374	95.1406	51.20081921310741
50.476	95.1641	51.20081921310741
50.577	95.1172	51.20081921310741
50.678	95.1641	51.20081921310741
50.78	95.1484	51.20081921310741
50.88	95.1172	51.20081921310741
50.981	95.1406	51.20081921310741
51.083	95.125	51.20081921310741
51.184	95.0938	51.20081921310741
51.286	95.125	51.20081921310741
51.386	95.1016	51.20081921310741
51.487	95.0703	51.20081921310741
51.589	95.0469	51.20081921310741
51.69	95.0469	51.20081921310741
51.79	95.0547	51.20081921310741
51.892	94.9766	51.20081921310741
51.993	95.0469	51.20081921310741
52.095	95.0703	51.20081921310741
52.196	95.0313	51.20081921310741
52.296	94.9375	51.20081921310741
52.398	94.9766	51.20081921310741
52.499	94.9844	51.20081921310741
52.6	94.9297	51.20081921310741
52.702	95.0	51.20081921310741
52.802	94.9375	51.20081921310741
52.903	94.9375	51.20081921310741
53.005	94.9844	51.20081921310741
53.106	94.8906	51.20081921310741
53.208	94.8594	51.20081921310741
53.308	94.8672	51.20081921310741
53.409	94.7734	51.20081921310741
53.511	94.8359	51.20081921310741
53.612	94.8359	51.20081921310741
53.713	94.8438	51.20081921310741
53.814	94.8438	51.20081921310741
53.915	94.8438	51.20081921310741
54.017	94.7734	51.20081921310741
54.118	94.7266	51.20081921310741
54.219	94.7266	51.20081921310741
54.32	94.7656	51.20081921310741
54.421	94.7891	51.20081921310741
54.522	94.7031	51.20081921310741
54.624	94.7734	51.20081921310741
54.725	94.7891	51.20081921310741
54.826	94.7656	51.20081921310741
54.927	94.7031	51.20081921310741
55.028	94.7031	51.20081921310741
55.13	94.6875	51.20081921310741
55.231	94.6172	51.20081921310741
55.331	94.5859	51.20081921310741
55.433	94.5859	51.20081921310741
55.534	94.5938	51.20081921310741
55.636	94.7031	51.20081921310741
55.737	94.6094	51.20081921310741
55.837	94.6172	51.20081921310741
