DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time'\nylabels = ( 'Temperature', 'Power' )\n"
self.number_history	0
self.text_log_note	'Note'

Time	Temperature	Power
1874.241	97.125	25.600409606553704
1874.342	97.1797	25.600409606553704
1874.444	97.1797	25.600409606553704
1874.545	97.1797	25.600409606553704
1874.647	97.1641	25.600409606553704
1874.748	97.25	25.600409606553704
1874.848	97.2813	25.600409606553704
1874.95	97.2578	25.600409606553704
1875.051	97.2031	25.600409606553704
1875.152	97.2266	25.600409606553704
1875.254	97.2109	25.600409606553704
1875.355	97.2031	25.600409606553704
1875.457	97.1016	25.600409606553704
1875.558	97.1797	25.600409606553704
1875.658	97.2266	25.600409606553704
1875.76	97.1406	25.600409606553704
1875.861	97.1797	25.600409606553704
1875.962	97.1172	25.600409606553704
1876.064	97.1563	25.600409606553704
1876.165	97.1563	25.600409606553704
1876.267	97.1797	25.600409606553704
1876.368	97.1563	25.600409606553704
1876.469	97.1797	25.600409606553704
1876.57	97.1641	25.600409606553704
1876.671	97.1406	25.600409606553704
1876.772	97.1641	25.600409606553704
1876.874	97.2031	25.600409606553704
1876.975	97.1406	25.600409606553704
1877.077	97.1797	25.600409606553704
1877.178	97.1875	25.600409606553704
1877.279	97.1172	25.600409606553704
1877.38	97.1641	25.600409606553704
1877.481	97.1875	25.600409606553704
1877.582	97.1641	25.600409606553704
1877.684	97.1016	25.600409606553704
1877.785	97.1563	25.600409606553704
1877.887	97.2266	25.600409606553704
1877.988	97.2031	25.600409606553704
1878.089	97.1563	25.600409606553704
1878.191	97.1641	25.600409606553704
1878.291	97.2031	25.600409606553704
1878.392	97.1641	25.600409606553704
1878.494	97.1641	25.600409606553704
1878.595	97.2266	25.600409606553704
1878.697	97.2109	25.600409606553704
1878.798	97.2109	25.600409606553704
1878.899	97.2266	25.600409606553704
1879.001	97.2266	25.600409606553704
1879.101	97.2109	25.600409606553704
1879.202	97.125	25.600409606553704
1879.304	97.1875	25.600409606553704
1879.405	97.2266	25.600409606553704
1879.506	97.2344	25.600409606553704
1879.608	97.2344	25.600409606553704
1879.709	97.1641	25.600409606553704
